employee_id,absence_reason_code,absence_month,weekday_code,season_indicator,commute_cost,commute_distance,years_at_company,employee_age,daily_workload,performance_target,disciplinary_action,education_level,dependents,alcohol_consumption,tobacco_use,pet_count,body_weight_kg,body_height_cm,bmi_score,absence_duration_hours,engagement_level,bmi_category,age_group,tenure_group,health_risk_score,commute_burden,is_friday,is_monday,workload_per_performance,lifestyle_blend,age_workload_interaction,no_justification,high_dependents,predicted_engagement_level,predicted_engagement_label
6,11,7,5,1,189,29,13,33,239.554,97,0,1,2,0,0,2,69,167,25,8,1,1,1,2,0,5481,0,0,2.4696286113784938,0,7905.282,0,0,1,Moderately Engaged
33,23,8,4,1,248,25,14,47,205.917,92,0,1,2,0,0,1,86,165,32,2,1,3,2,2,1,6200,0,0,2.238228017583911,0,9678.099,0,0,1,Moderately Engaged
18,10,8,4,1,330,16,4,28,205.917,92,0,2,0,0,0,0,84,182,25,8,1,1,0,0,0,5280,0,0,2.238228017583911,0,5765.676,0,0,1,Moderately Engaged
3,11,8,2,1,179,51,18,38,205.917,92,0,1,0,1,0,0,89,170,31,1,1,3,1,2,2,9129,0,1,2.238228017583911,31,7824.8460000000005,0,0,1,Moderately Engaged
10,13,8,2,1,361,52,3,28,205.917,92,0,1,1,1,0,4,80,172,27,26,2,2,0,0,1,18772,0,1,2.238228017583911,27,5765.676,0,0,1,Moderately Engaged
20,28,8,6,1,260,50,11,36,205.917,92,0,1,4,1,0,0,65,168,23,4,1,1,1,2,1,13000,1,0,2.238228017583911,23,7413.012,0,1,1,Moderately Engaged
11,18,8,2,1,289,36,13,33,205.917,92,0,1,2,1,0,1,90,172,30,8,1,2,1,2,2,10404,0,1,2.238228017583911,30,6795.261,0,0,1,Moderately Engaged
10,25,8,2,1,361,52,3,28,205.917,92,0,1,1,1,0,4,80,172,27,7,1,2,0,0,1,18772,0,1,2.238228017583911,27,5765.676,0,0,1,Moderately Engaged
11,23,8,3,1,289,36,13,33,205.917,92,0,1,2,1,0,1,90,172,30,1,1,2,1,2,2,10404,0,0,2.238228017583911,30,6795.261,0,0,1,Moderately Engaged
30,28,8,4,1,157,27,6,29,205.917,92,0,1,0,1,1,0,75,185,22,4,1,1,0,1,2,4239,0,0,2.238228017583911,23,5971.593,0,0,1,Moderately Engaged
11,18,8,4,1,289,36,13,33,205.917,92,0,1,2,1,0,1,90,172,30,8,1,2,1,2,2,10404,0,0,2.238228017583911,30,6795.261,0,0,1,Moderately Engaged
3,23,8,6,1,179,51,18,38,205.917,92,0,1,0,1,0,0,89,170,31,2,1,3,1,2,2,9129,1,0,2.238228017583911,31,7824.8460000000005,0,0,1,Moderately Engaged
3,18,8,2,1,179,51,18,38,205.917,92,0,1,0,1,0,0,89,170,31,8,1,3,1,2,2,9129,0,1,2.238228017583911,31,7824.8460000000005,0,0,1,Moderately Engaged
2,18,8,5,1,235,29,12,48,205.917,92,0,1,1,0,1,5,88,163,33,8,1,3,2,2,2,6815,0,0,2.238228017583911,1,9884.016,0,0,1,Moderately Engaged
1,23,8,5,1,235,11,14,37,205.917,92,0,3,1,0,0,1,88,172,29,4,1,2,1,2,0,2585,0,0,2.238228017583911,0,7618.929,0,0,1,Moderately Engaged
2,18,8,2,1,235,29,12,48,205.917,92,0,1,1,0,1,5,88,163,33,8,1,3,2,2,2,6815,0,1,2.238228017583911,1,9884.016,0,0,1,Moderately Engaged
3,23,8,2,1,179,51,18,38,205.917,92,0,1,0,1,0,0,89,170,31,2,1,3,1,2,2,9129,0,1,2.238228017583911,31,7824.8460000000005,0,0,1,Moderately Engaged
10,23,8,2,1,361,52,3,28,205.917,92,0,1,1,1,0,4,80,172,27,1,1,2,0,0,1,18772,0,1,2.238228017583911,27,5765.676,0,0,1,Moderately Engaged
11,24,8,3,1,289,36,13,33,205.917,92,0,1,2,1,0,1,90,172,30,8,1,2,1,2,2,10404,0,0,2.238228017583911,30,6795.261,0,0,1,Moderately Engaged
19,11,8,5,1,291,50,12,32,205.917,92,0,1,0,1,0,0,65,169,23,4,1,1,1,2,1,14550,0,0,2.238228017583911,23,6589.344,0,0,1,Moderately Engaged
2,28,8,6,1,235,29,12,48,205.917,92,0,1,1,0,1,5,88,163,33,8,1,3,2,2,2,6815,1,0,2.238228017583911,1,9884.016,0,0,1,Moderately Engaged
20,23,8,6,1,260,50,11,36,205.917,92,0,1,4,1,0,0,65,168,23,4,1,1,1,2,1,13000,1,0,2.238228017583911,23,7413.012,0,1,1,Moderately Engaged
27,23,9,3,1,184,42,7,27,241.476,92,0,1,0,0,0,0,58,167,21,2,1,1,0,1,0,7728,0,0,2.624738845137082,0,6519.852,0,0,1,Moderately Engaged
34,23,9,2,1,118,10,10,37,241.476,92,0,1,0,0,0,0,83,172,28,4,1,2,1,1,0,1180,0,1,2.624738845137082,0,8934.612,0,0,1,Moderately Engaged
3,23,9,3,1,179,51,18,38,241.476,92,0,1,0,1,0,0,89,170,31,4,1,3,1,2,2,9129,0,0,2.624738845137082,31,9176.088,0,0,1,Moderately Engaged
5,19,9,3,1,235,20,13,43,241.476,92,0,1,1,1,0,0,106,167,38,8,1,3,2,2,2,4700,0,0,2.624738845137082,38,10383.468,0,0,1,Moderately Engaged
14,23,9,4,1,155,12,14,34,241.476,92,0,1,2,1,0,0,95,196,25,2,1,1,1,2,1,1860,0,0,2.624738845137082,25,8210.184,0,0,1,Moderately Engaged
34,23,9,2,1,118,10,10,37,241.476,92,0,1,0,0,0,0,83,172,28,3,1,2,1,1,0,1180,0,1,2.624738845137082,0,8934.612,0,0,1,Moderately Engaged
3,23,9,3,1,179,51,18,38,241.476,92,0,1,0,1,0,0,89,170,31,3,1,3,1,2,2,9129,0,0,2.624738845137082,31,9176.088,0,0,1,Moderately Engaged
15,23,9,5,1,291,31,12,40,241.476,92,0,1,1,1,0,1,73,171,25,4,1,1,1,2,1,9021,0,0,2.624738845137082,25,9659.04,0,0,1,Moderately Engaged
20,22,9,6,1,260,50,11,36,241.476,92,0,1,4,1,0,0,65,168,23,8,1,1,1,2,1,13000,1,0,2.624738845137082,23,8693.136,0,1,1,Moderately Engaged
15,14,9,2,4,291,31,12,40,241.476,92,0,1,1,1,0,1,73,171,25,26,2,1,1,2,1,9021,0,1,2.624738845137082,25,9659.04,0,0,2,At-Risk
20,0,9,2,4,260,50,11,36,241.476,92,1,1,4,1,0,0,65,168,23,0,0,1,1,2,1,13000,0,1,2.624738845137082,23,8693.136,1,1,0,Highly Engaged
29,0,9,2,4,225,26,9,28,241.476,92,1,1,1,0,0,2,69,169,24,0,0,1,0,1,0,5850,0,1,2.624738845137082,0,6761.3279999999995,1,0,0,Highly Engaged
28,23,9,3,4,225,26,9,28,241.476,92,0,1,1,0,0,2,69,169,24,2,1,1,0,1,0,5850,0,0,2.624738845137082,0,6761.3279999999995,0,0,1,Moderately Engaged
34,23,9,3,4,118,10,10,37,241.476,92,0,1,0,0,0,0,83,172,28,2,1,2,1,1,0,1180,0,0,2.624738845137082,0,8934.612,0,0,1,Moderately Engaged
11,0,9,3,4,289,36,13,33,241.476,92,1,1,2,1,0,1,90,172,30,0,0,2,1,2,2,10404,0,0,2.624738845137082,30,7968.708,1,0,0,Highly Engaged
36,0,9,3,4,118,13,18,50,241.476,92,1,1,1,1,0,0,98,178,31,0,0,3,2,2,2,1534,0,0,2.624738845137082,31,12073.8,1,0,0,Highly Engaged
28,18,9,4,4,225,26,9,28,241.476,92,0,1,1,0,0,2,69,169,24,3,1,1,0,1,0,5850,0,0,2.624738845137082,0,6761.3279999999995,0,0,1,Moderately Engaged
3,23,9,4,4,179,51,18,38,241.476,92,0,1,0,1,0,0,89,170,31,3,1,3,1,2,2,9129,0,0,2.624738845137082,31,9176.088,0,0,1,Moderately Engaged
13,0,9,4,4,369,17,12,31,241.476,92,1,1,3,1,0,0,70,169,25,0,0,1,1,2,1,6273,0,0,2.624738845137082,25,7485.756,1,1,0,Highly Engaged
33,23,9,6,4,248,25,14,47,241.476,92,0,1,2,0,0,1,86,165,32,1,1,3,2,2,1,6200,1,0,2.624738845137082,0,11349.372,0,0,1,Moderately Engaged
3,23,9,6,4,179,51,18,38,241.476,92,0,1,0,1,0,0,89,170,31,3,1,3,1,2,2,9129,1,0,2.624738845137082,31,9176.088,0,0,1,Moderately Engaged
20,23,9,6,4,260,50,11,36,241.476,92,0,1,4,1,0,0,65,168,23,4,1,1,1,2,1,13000,1,0,2.624738845137082,23,8693.136,0,1,1,Moderately Engaged
3,23,10,3,4,179,51,18,38,253.465,93,0,1,0,1,0,0,89,170,31,3,1,3,1,2,2,9129,0,0,2.7254298144699125,31,9631.67,0,0,1,Moderately Engaged
34,23,10,3,4,118,10,10,37,253.465,93,0,1,0,0,0,0,83,172,28,3,1,2,1,1,0,1180,0,0,2.7254298144699125,0,9378.205,0,0,1,Moderately Engaged
36,0,10,4,4,118,13,18,50,253.465,93,1,1,1,1,0,0,98,178,31,0,0,3,2,2,2,1534,0,0,2.7254298144699125,31,12673.25,1,0,0,Highly Engaged
22,23,10,5,4,179,26,9,30,253.465,93,0,3,0,0,0,0,56,171,19,1,1,1,0,1,0,4654,0,0,2.7254298144699125,0,7603.95,0,0,1,Moderately Engaged
3,23,10,6,4,179,51,18,38,253.465,93,0,1,0,1,0,0,89,170,31,3,1,3,1,2,2,9129,1,0,2.7254298144699125,31,9631.67,0,0,1,Moderately Engaged
28,23,10,6,4,225,26,9,28,253.465,93,0,1,1,0,0,2,69,169,24,3,1,1,0,1,0,5850,1,0,2.7254298144699125,0,7097.02,0,0,1,Moderately Engaged
34,23,10,3,4,118,10,10,37,253.465,93,0,1,0,0,0,0,83,172,28,3,1,2,1,1,0,1180,0,0,2.7254298144699125,0,9378.205,0,0,1,Moderately Engaged
28,23,10,4,4,225,26,9,28,253.465,93,0,1,1,0,0,2,69,169,24,2,1,1,0,1,0,5850,0,0,2.7254298144699125,0,7097.02,0,0,1,Moderately Engaged
33,23,10,4,4,248,25,14,47,253.465,93,0,1,2,0,0,1,86,165,32,2,1,3,2,2,1,6200,0,0,2.7254298144699125,0,11912.855,0,0,1,Moderately Engaged
15,23,10,5,4,291,31,12,40,253.465,93,0,1,1,1,0,1,73,171,25,5,1,1,1,2,1,9021,0,0,2.7254298144699125,25,10138.6,0,0,1,Moderately Engaged
3,23,10,4,4,179,51,18,38,253.465,93,0,1,0,1,0,0,89,170,31,8,1,3,1,2,2,9129,0,0,2.7254298144699125,31,9631.67,0,0,1,Moderately Engaged
28,23,10,4,4,225,26,9,28,253.465,93,0,1,1,0,0,2,69,169,24,3,1,1,0,1,0,5850,0,0,2.7254298144699125,0,7097.02,0,0,1,Moderately Engaged
20,19,10,5,4,260,50,11,36,253.465,93,0,1,4,1,0,0,65,168,23,16,2,1,1,2,1,13000,0,0,2.7254298144699125,23,9124.74,0,1,2,At-Risk
15,14,10,3,4,291,31,12,40,253.465,93,0,1,1,1,0,1,73,171,25,8,1,1,1,2,1,9021,0,0,2.7254298144699125,25,10138.6,0,0,2,At-Risk
28,28,10,3,4,225,26,9,28,253.465,93,0,1,1,0,0,2,69,169,24,2,1,1,0,1,0,5850,0,0,2.7254298144699125,0,7097.02,0,0,1,Moderately Engaged
11,26,10,4,4,289,36,13,33,253.465,93,0,1,2,1,0,1,90,172,30,8,1,2,1,2,2,10404,0,0,2.7254298144699125,30,8364.345,0,0,1,Moderately Engaged
10,23,10,6,4,361,52,3,28,253.465,93,0,1,1,1,0,4,80,172,27,1,1,2,0,0,1,18772,1,0,2.7254298144699125,27,7097.02,0,0,1,Moderately Engaged
20,28,10,6,4,260,50,11,36,253.465,93,0,1,4,1,0,0,65,168,23,3,1,1,1,2,1,13000,1,0,2.7254298144699125,23,9124.74,0,1,1,Moderately Engaged
3,23,11,5,4,179,51,18,38,306.345,93,0,1,0,1,0,0,89,170,31,1,1,3,1,2,2,9129,0,0,3.294031903867537,31,11641.11,0,0,1,Moderately Engaged
28,23,11,4,4,225,26,9,28,306.345,93,0,1,1,0,0,2,69,169,24,1,1,1,0,1,0,5850,0,0,3.294031903867537,0,8577.66,0,0,1,Moderately Engaged
3,13,11,5,4,179,51,18,38,306.345,93,0,1,0,1,0,0,89,170,31,8,1,3,1,2,2,9129,0,0,3.294031903867537,31,11641.11,0,0,1,Moderately Engaged
17,21,11,5,4,179,22,17,40,306.345,93,0,2,2,0,1,0,63,170,22,8,1,1,1,2,1,3938,0,0,3.294031903867537,1,12253.800000000001,0,0,1,Moderately Engaged
15,23,11,5,4,291,31,12,40,306.345,93,0,1,1,1,0,1,73,171,25,5,1,1,1,2,1,9021,0,0,3.294031903867537,25,12253.800000000001,0,0,1,Moderately Engaged
14,10,11,2,4,155,12,14,34,306.345,93,0,1,2,1,0,0,95,196,25,26,2,1,1,2,1,1860,0,1,3.294031903867537,25,10415.730000000001,0,0,2,At-Risk
6,22,11,2,4,189,29,13,33,306.345,93,0,1,2,0,0,2,69,167,25,8,1,1,1,2,0,5481,0,1,3.294031903867537,0,10109.385,0,0,1,Moderately Engaged
15,14,11,2,4,291,31,12,40,306.345,93,0,1,1,1,0,1,73,171,25,26,2,1,1,2,1,9021,0,1,3.294031903867537,25,12253.800000000001,0,0,2,At-Risk
28,23,11,4,4,225,26,9,28,306.345,93,0,1,1,0,0,2,69,169,24,1,1,1,0,1,0,5850,0,0,3.294031903867537,0,8577.66,0,0,1,Moderately Engaged
14,6,11,6,4,155,12,14,34,306.345,93,0,1,2,1,0,0,95,196,25,8,1,1,1,2,1,1860,1,0,3.294031903867537,25,10415.730000000001,0,0,1,Moderately Engaged
28,23,11,4,4,225,26,9,28,306.345,93,0,1,1,0,0,2,69,169,24,3,1,1,0,1,0,5850,0,0,3.294031903867537,0,8577.66,0,0,1,Moderately Engaged
17,21,11,4,4,179,22,17,40,306.345,93,0,2,2,0,1,0,63,170,22,8,1,1,1,2,1,3938,0,0,3.294031903867537,1,12253.800000000001,0,0,1,Moderately Engaged
28,13,11,6,4,225,26,9,28,306.345,93,0,1,1,0,0,2,69,169,24,3,1,1,0,1,0,5850,1,0,3.294031903867537,0,8577.66,0,0,1,Moderately Engaged
20,28,11,6,4,260,50,11,36,306.345,93,0,1,4,1,0,0,65,168,23,4,1,1,1,2,1,13000,1,0,3.294031903867537,23,11028.420000000002,0,1,1,Moderately Engaged
33,28,11,2,4,248,25,14,47,306.345,93,0,1,2,0,0,1,86,165,32,1,1,3,2,2,1,6200,0,1,3.294031903867537,0,14398.215000000002,0,0,1,Moderately Engaged
28,28,11,3,4,225,26,9,28,306.345,93,0,1,1,0,0,2,69,169,24,3,1,1,0,1,0,5850,0,0,3.294031903867537,0,8577.66,0,0,1,Moderately Engaged
11,7,11,4,4,289,36,13,33,306.345,93,0,1,2,1,0,1,90,172,30,24,2,2,1,2,2,10404,0,0,3.294031903867537,30,10109.385,0,0,2,At-Risk
15,23,11,5,4,291,31,12,40,306.345,93,0,1,1,1,0,1,73,171,25,3,1,1,1,2,1,9021,0,0,3.294031903867537,25,12253.800000000001,0,0,1,Moderately Engaged
33,23,12,3,4,248,25,14,47,261.306,97,0,1,2,0,0,1,86,165,32,1,1,3,2,2,1,6200,0,0,2.6938760109406172,0,12281.382,0,0,1,Moderately Engaged
34,19,12,3,4,118,10,10,37,261.306,97,0,1,0,0,0,0,83,172,28,26,2,2,1,1,0,1180,0,0,2.6938760109406172,0,9668.322,0,0,2,At-Risk
36,23,12,4,4,118,13,18,50,261.306,97,0,1,1,1,0,0,98,178,31,2,1,3,2,2,2,1534,0,0,2.6938760109406172,31,13065.3,0,0,1,Moderately Engaged
1,26,12,4,4,235,11,14,37,261.306,97,0,3,1,0,0,1,88,172,29,8,1,2,1,2,0,2585,0,0,2.6938760109406172,0,9668.322,0,0,1,Moderately Engaged
28,23,12,5,4,225,26,9,28,261.306,97,0,1,1,0,0,2,69,169,24,2,1,1,0,1,0,5850,0,0,2.6938760109406172,0,7316.567999999999,0,0,1,Moderately Engaged
20,26,12,6,4,260,50,11,36,261.306,97,0,1,4,1,0,0,65,168,23,8,1,1,1,2,1,13000,1,0,2.6938760109406172,23,9407.016,0,1,1,Moderately Engaged
34,19,12,3,4,118,10,10,37,261.306,97,0,1,0,0,0,0,83,172,28,26,2,2,1,1,0,1180,0,0,2.6938760109406172,0,9668.322,0,0,2,At-Risk
10,22,12,4,4,361,52,3,28,261.306,97,0,1,1,1,0,4,80,172,27,8,1,2,0,0,1,18772,0,0,2.6938760109406172,27,7316.567999999999,0,0,1,Moderately Engaged
28,28,12,5,4,225,26,9,28,261.306,97,0,1,1,0,0,2,69,169,24,3,1,1,0,1,0,5850,0,0,2.6938760109406172,0,7316.567999999999,0,0,1,Moderately Engaged
20,28,12,6,4,260,50,11,36,261.306,97,0,1,4,1,0,0,65,168,23,3,1,1,1,2,1,13000,1,0,2.6938760109406172,23,9407.016,0,1,1,Moderately Engaged
28,23,12,3,4,225,26,9,28,261.306,97,0,1,1,0,0,2,69,169,24,2,1,1,0,1,0,5850,0,0,2.6938760109406172,0,7316.567999999999,0,0,1,Moderately Engaged
10,22,12,4,4,361,52,3,28,261.306,97,0,1,1,1,0,4,80,172,27,8,1,2,0,0,1,18772,0,0,2.6938760109406172,27,7316.567999999999,0,0,1,Moderately Engaged
34,27,12,6,4,118,10,10,37,261.306,97,0,1,0,0,0,0,83,172,28,2,1,2,1,1,0,1180,1,0,2.6938760109406172,0,9668.322,0,0,1,Moderately Engaged
24,19,12,6,2,246,25,16,41,261.306,97,0,1,0,1,0,0,67,170,23,8,1,1,2,2,1,6150,1,0,2.6938760109406172,23,10713.545999999998,0,0,1,Moderately Engaged
28,23,12,6,2,225,26,9,28,261.306,97,0,1,1,0,0,2,69,169,24,2,1,1,0,1,0,5850,1,0,2.6938760109406172,0,7316.567999999999,0,0,1,Moderately Engaged
28,23,1,4,2,225,26,9,28,308.593,95,0,1,1,0,0,2,69,169,24,1,1,1,0,1,0,5850,0,0,3.2483470264897867,0,8640.604000000001,0,0,1,Moderately Engaged
34,19,1,2,2,118,10,10,37,308.593,95,0,1,0,0,0,0,83,172,28,1,1,2,1,1,0,1180,0,1,3.2483470264897867,0,11417.941,0,0,2,At-Risk
34,27,1,3,2,118,10,10,37,308.593,95,0,1,0,0,0,0,83,172,28,1,1,2,1,1,0,1180,0,0,3.2483470264897867,0,11417.941,0,0,1,Moderately Engaged
14,18,1,3,2,155,12,14,34,308.593,95,0,1,2,1,0,0,95,196,25,8,1,1,1,2,1,1860,0,0,3.2483470264897867,25,10492.162,0,0,1,Moderately Engaged
28,27,1,4,2,225,26,9,28,308.593,95,0,1,1,0,0,2,69,169,24,2,1,1,0,1,0,5850,0,0,3.2483470264897867,0,8640.604000000001,0,0,1,Moderately Engaged
27,23,1,5,2,184,42,7,27,308.593,95,0,1,0,0,0,0,58,167,21,2,1,1,0,1,0,7728,0,0,3.2483470264897867,0,8332.011,0,0,1,Moderately Engaged
28,28,1,5,2,225,26,9,28,308.593,95,0,1,1,0,0,2,69,169,24,2,1,1,0,1,0,5850,0,0,3.2483470264897867,0,8640.604000000001,0,0,1,Moderately Engaged
28,27,1,6,2,225,26,9,28,308.593,95,0,1,1,0,0,2,69,169,24,1,1,1,0,1,0,5850,1,0,3.2483470264897867,0,8640.604000000001,0,0,1,Moderately Engaged
34,27,1,2,2,118,10,10,37,308.593,95,0,1,0,0,0,0,83,172,28,2,1,2,1,1,0,1180,0,1,3.2483470264897867,0,11417.941,0,0,1,Moderately Engaged
28,27,1,3,2,225,26,9,28,308.593,95,0,1,1,0,0,2,69,169,24,2,1,1,0,1,0,5850,0,0,3.2483470264897867,0,8640.604000000001,0,0,1,Moderately Engaged
34,27,1,3,2,118,10,10,37,308.593,95,0,1,0,0,0,0,83,172,28,2,1,2,1,1,0,1180,0,0,3.2483470264897867,0,11417.941,0,0,1,Moderately Engaged
34,27,1,4,2,118,10,10,37,308.593,95,0,1,0,0,0,0,83,172,28,2,1,2,1,1,0,1180,0,0,3.2483470264897867,0,11417.941,0,0,1,Moderately Engaged
34,27,1,5,2,118,10,10,37,308.593,95,0,1,0,0,0,0,83,172,28,2,1,2,1,1,0,1180,0,0,3.2483470264897867,0,11417.941,0,0,1,Moderately Engaged
34,27,1,6,2,118,10,10,37,308.593,95,0,1,0,0,0,0,83,172,28,2,1,2,1,1,0,1180,1,0,3.2483470264897867,0,11417.941,0,0,1,Moderately Engaged
34,27,1,2,2,118,10,10,37,308.593,95,0,1,0,0,0,0,83,172,28,2,1,2,1,1,0,1180,0,1,3.2483470264897867,0,11417.941,0,0,1,Moderately Engaged
34,27,1,3,2,118,10,10,37,308.593,95,0,1,0,0,0,0,83,172,28,2,1,2,1,1,0,1180,0,0,3.2483470264897867,0,11417.941,0,0,1,Moderately Engaged
22,18,1,3,2,179,26,9,30,308.593,95,0,3,0,0,0,0,56,171,19,8,1,1,0,1,0,4654,0,0,3.2483470264897867,0,9257.79,0,0,1,Moderately Engaged
11,18,1,3,2,289,36,13,33,308.593,95,0,1,2,1,0,1,90,172,30,8,1,2,1,2,2,10404,0,0,3.2483470264897867,30,10183.569000000001,0,0,1,Moderately Engaged
34,27,1,4,2,118,10,10,37,308.593,95,0,1,0,0,0,0,83,172,28,2,1,2,1,1,0,1180,0,0,3.2483470264897867,0,11417.941,0,0,1,Moderately Engaged
27,23,1,5,2,184,42,7,27,308.593,95,0,1,0,0,0,0,58,167,21,2,1,1,0,1,0,7728,0,0,3.2483470264897867,0,8332.011,0,0,1,Moderately Engaged
34,27,1,5,2,118,10,10,37,308.593,95,0,1,0,0,0,0,83,172,28,2,1,2,1,1,0,1180,0,0,3.2483470264897867,0,11417.941,0,0,1,Moderately Engaged
34,27,1,2,2,118,10,10,37,308.593,95,0,1,0,0,0,0,83,172,28,0,0,2,1,1,0,1180,0,1,3.2483470264897867,0,11417.941,0,0,1,Moderately Engaged
28,23,1,3,2,225,26,9,28,308.593,95,0,1,1,0,0,2,69,169,24,1,1,1,0,1,0,5850,0,0,3.2483470264897867,0,8640.604000000001,0,0,1,Moderately Engaged
11,22,1,5,2,289,36,13,33,308.593,95,0,1,2,1,0,1,90,172,30,3,1,2,1,2,2,10404,0,0,3.2483470264897867,30,10183.569000000001,0,0,1,Moderately Engaged
27,23,2,6,2,184,42,7,27,302.585,99,0,1,0,0,0,0,58,167,21,1,1,1,0,1,0,7728,1,0,3.0564138326854713,0,8169.794999999999,0,0,1,Moderately Engaged
24,1,2,4,2,246,25,16,41,302.585,99,0,1,0,1,0,0,67,170,23,8,1,1,2,2,1,6150,0,0,3.0564138326854713,23,12405.984999999999,0,0,2,At-Risk
3,11,2,4,2,179,51,18,38,302.585,99,0,1,0,1,0,0,89,170,31,8,1,3,1,2,2,9129,0,0,3.0564138326854713,31,11498.23,0,0,1,Moderately Engaged
14,28,2,5,2,155,12,14,34,302.585,99,0,1,2,1,0,0,95,196,25,2,1,1,1,2,1,1860,0,0,3.0564138326854713,25,10287.89,0,0,1,Moderately Engaged
6,23,2,5,2,189,29,13,33,302.585,99,0,1,2,0,0,2,69,167,25,8,1,1,1,2,0,5481,0,0,3.0564138326854713,0,9985.304999999998,0,0,1,Moderately Engaged
20,28,2,6,2,260,50,11,36,302.585,99,0,1,4,1,0,0,65,168,23,2,1,1,1,2,1,13000,1,0,3.0564138326854713,23,10893.06,0,1,1,Moderately Engaged
11,22,2,6,2,289,36,13,33,302.585,99,0,1,2,1,0,1,90,172,30,8,1,2,1,2,2,10404,1,0,3.0564138326854713,30,9985.304999999998,0,0,1,Moderately Engaged
31,11,2,2,2,388,15,9,50,302.585,99,0,1,0,0,0,0,76,178,24,8,1,1,2,1,0,5820,0,1,3.0564138326854713,0,15129.249999999998,0,0,1,Moderately Engaged
31,1,2,3,2,388,15,9,50,302.585,99,0,1,0,0,0,0,76,178,24,8,1,1,2,1,0,5820,0,0,3.0564138326854713,0,15129.249999999998,0,0,1,Moderately Engaged
